ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1010956517257578,1164193340281834,"Stephen Morgan",2024-06-16,2024-06-16,2024-06-18,"Office of Stephen Morgan","Thanks so much to everyone who has requested a window poster. They are back in stock again! 

Please pop into 72 Albert Road to collect your’s or put your details into the link below and a volunteer will drop one round! 📫

https://docs.google.com/forms/d/e/1FAIpQLScCQZcxTnMjiSS7P7HMQdBPIxX1Xqs6SuqOrFM75Pj-UAAqDw/viewform",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",GBP,"{""age"":""45-54"",""gender"":""male"",""percentage"":0.123389},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003683},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001228},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000614},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.007366},{""age"":""18-24"",""gender"":""female"",""percentage"":0.001228},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00798},{""age"":""25-34"",""gender"":""female"",""percentage"":0.003069},{""age"":""35-44"",""gender"":""female"",""percentage"":0.009822},{""age"":""55-64"",""gender"":""male"",""percentage"":0.251688},{""age"":""65+"",""gender"":""female"",""percentage"":0.094537},{""age"":""35-44"",""gender"":""male"",""percentage"":0.061387},{""age"":""55-64"",""gender"":""female"",""percentage"":0.054021},{""age"":""45-54"",""gender"":""female"",""percentage"":0.024555},{""age"":""18-24"",""gender"":""male"",""percentage"":0.021486},{""age"":""65+"",""gender"":""male"",""percentage"":0.297115},{""age"":""25-34"",""gender"":""male"",""percentage"":0.036219},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000614}","{""region"":""Unknown"",""percentage"":0.001239},{""region"":""England"",""percentage"":0.855019},{""region"":""Wales"",""percentage"":0.069393},{""region"":""Scotland"",""percentage"":0.066914},{""region"":""Northern Ireland"",""percentage"":0.007435}",facebook,"lower_bound: 100, upper_bound: 1000",en
1000378415084942,1164193340281834,"Stephen Morgan",2024-06-12,2024-06-12,2024-06-14,"Office of Stephen Morgan","Thanks so much to everyone who has requested a window poster to show support for my re-election as MP. Pop your details into the link below and a volunteer will drop one round! 📫
https://docs.google.com/forms/d/e/1FAIpQLScCQZcxTnMjiSS7P7HMQdBPIxX1Xqs6SuqOrFM75Pj-UAAqDw/viewform",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",GBP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001323},{""age"":""35-44"",""gender"":""male"",""percentage"":0.082011},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.006614},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003968},{""age"":""45-54"",""gender"":""male"",""percentage"":0.108466},{""age"":""35-44"",""gender"":""female"",""percentage"":0.083333},{""age"":""55-64"",""gender"":""female"",""percentage"":0.109788},{""age"":""55-64"",""gender"":""male"",""percentage"":0.115079},{""age"":""25-34"",""gender"":""male"",""percentage"":0.054233},{""age"":""18-24"",""gender"":""female"",""percentage"":0.007937},{""age"":""65+"",""gender"":""female"",""percentage"":0.175926},{""age"":""65+"",""gender"":""male"",""percentage"":0.096561},{""age"":""45-54"",""gender"":""female"",""percentage"":0.109788},{""age"":""25-34"",""gender"":""female"",""percentage"":0.011905},{""age"":""18-24"",""gender"":""male"",""percentage"":0.018519},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003968},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.010582}","{""region"":""Northern Ireland"",""percentage"":0.001326},{""region"":""England"",""percentage"":0.977454},{""region"":""Wales"",""percentage"":0.014589},{""region"":""Scotland"",""percentage"":0.006631}",facebook,"lower_bound: 5001, upper_bound: 10000",en
850802793554063,345463602161853,bp,2024-05-14,2024-05-16,2024-05-21,bp,"Above the sea and below. While today we’re mostly in oil & gas, we’re also working to develop offshore wind, depending on necessary permits and contracts, with our partner EnBW. And, not or – that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.,Above the sea and below. While today we’re mostly in oil & gas, we’re also working to develop offshore wind, depending on necessary permits and contracts, with our partner EnBW. And, not or – that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.","And, not or – that’s our approach.,And, not or – that’s our approach.","bp.com/AndNotOr,bp.com/AndNotOr",,"lower_bound: 300000, upper_bound: 349999","lower_bound: 900, upper_bound: 999",GBP,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004158},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000671},{""age"":""55-64"",""gender"":""male"",""percentage"":0.067191},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00391},{""age"":""25-34"",""gender"":""female"",""percentage"":0.056245},{""age"":""35-44"",""gender"":""female"",""percentage"":0.133742},{""age"":""55-64"",""gender"":""female"",""percentage"":0.044711},{""age"":""45-54"",""gender"":""female"",""percentage"":0.089268},{""age"":""45-54"",""gender"":""male"",""percentage"":0.159884},{""age"":""25-34"",""gender"":""male"",""percentage"":0.139591},{""age"":""35-44"",""gender"":""male"",""percentage"":0.298866},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001764}","{""region"":""Unknown"",""percentage"":2.1e-5},{""region"":""England"",""percentage"":0.999979}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
25807251852192455,345463602161853,bp,2024-05-14,2024-05-16,2024-05-21,bp,"Above the sea and below. While today we’re mostly in oil & gas, we’re also working to develop offshore wind, depending on necessary permits and contracts, with our partner EnBW. And, not or – that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.,Above the sea and below. While today we’re mostly in oil & gas, we’re also working to develop offshore wind, depending on necessary permits and contracts, with our partner EnBW. And, not or – that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.","And, not or – that’s our approach.,And, not or – that’s our approach.","bp.com/AndNotOr,bp.com/AndNotOr",,"lower_bound: 200000, upper_bound: 249999","lower_bound: 900, upper_bound: 999",GBP,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003171},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000888},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002156},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003453},{""age"":""25-34"",""gender"":""female"",""percentage"":0.087829},{""age"":""55-64"",""gender"":""female"",""percentage"":0.075948},{""age"":""55-64"",""gender"":""male"",""percentage"":0.080515},{""age"":""45-54"",""gender"":""male"",""percentage"":0.131673},{""age"":""35-44"",""gender"":""female"",""percentage"":0.166187},{""age"":""25-34"",""gender"":""male"",""percentage"":0.118144},{""age"":""35-44"",""gender"":""male"",""percentage"":0.212484},{""age"":""45-54"",""gender"":""female"",""percentage"":0.117552}","{""region"":""Unknown"",""percentage"":2.7e-5},{""region"":""England"",""percentage"":0.999973}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
8044588338908588,345463602161853,bp,2024-05-14,2024-05-16,,bp,"Charging up and drilling down. While today we’re mostly in oil & gas, we’re also working to roll out EV charging, like our 180 bay public hub at the NEC in Birmingham. And, not or — that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.,Charging up and drilling down. While today we’re mostly in oil & gas, we’re also working to roll out EV charging, like our 180 bay public hub at the NEC in Birmingham. And, not or — that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.","And, not or – that’s our approach.,And, not or – that’s our approach.","bp.com/AndNotOr,bp.com/AndNotOr",,"lower_bound: 200000, upper_bound: 249999","lower_bound: 900, upper_bound: 999",GBP,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000411},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003661},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005117},{""age"":""55-64"",""gender"":""male"",""percentage"":0.107814},{""age"":""45-54"",""gender"":""male"",""percentage"":0.21203},{""age"":""35-44"",""gender"":""male"",""percentage"":0.251413},{""age"":""25-34"",""gender"":""male"",""percentage"":0.089748},{""age"":""45-54"",""gender"":""female"",""percentage"":0.103842},{""age"":""55-64"",""gender"":""female"",""percentage"":0.056889},{""age"":""35-44"",""gender"":""female"",""percentage"":0.128085},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002565},{""age"":""25-34"",""gender"":""female"",""percentage"":0.038424}","{""region"":""Unknown"",""percentage"":1.3e-5},{""region"":""England"",""percentage"":0.999987}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
1175785690282891,345463602161853,bp,2024-05-20,2024-05-20,,bp,"Above the sea and below. While today we’re mostly in oil & gas, we’re also working to develop offshore wind, depending on necessary permits and contracts, with our partner EnBW. And, not or – that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.,Above the sea and below. While today we’re mostly in oil & gas, we’re also working to develop offshore wind, depending on necessary permits and contracts, with our partner EnBW. And, not or – that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.,Above the sea and below. While today we’re mostly in oil & gas, we’re also working to develop offshore wind, depending on necessary permits and contracts, with our partner EnBW. And, not or – that’s our approach.
---
While today we’re mostly in oil and gas, we increased the proportion of our global annual investment that went into our lower carbon & other transition businesses from around 3% in 2019 to around 23% in 2023.","And, not or – that’s our approach.,And, not or – that’s our approach.,And, not or – that’s our approach.","bp.com/AndNotOr,bp.com/AndNotOr,bp.com/AndNotOr",,"lower_bound: 1000000","lower_bound: 9000, upper_bound: 9999",GBP,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002915},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002238},{""age"":""45-54"",""gender"":""female"",""percentage"":0.127903},{""age"":""35-44"",""gender"":""male"",""percentage"":0.186527},{""age"":""25-34"",""gender"":""female"",""percentage"":0.092703},{""age"":""25-34"",""gender"":""male"",""percentage"":0.109978},{""age"":""55-64"",""gender"":""male"",""percentage"":0.075714},{""age"":""45-54"",""gender"":""male"",""percentage"":0.123668},{""age"":""55-64"",""gender"":""female"",""percentage"":0.081289},{""age"":""35-44"",""gender"":""female"",""percentage"":0.192809},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003561},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000693}","{""region"":""England"",""percentage"":0.99998},{""region"":""Unknown"",""percentage"":2.0e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
7369202063129431,345463602161853,bp,2024-05-14,2024-05-16,,bp,"We're working to bring more lower carbon energy to the UK – like hydrogen. And, we're keeping oil and gas flowing to help meet today's energy needs. And, not or – that's our
approach.,We're working to bring more lower carbon energy to the UK – like hydrogen. And, we're keeping oil and gas flowing to help meet today's energy needs. And, not or – that's our
approach.","And, not or – that’s our approach.,And, not or – that’s our approach.","bp.com/AndNotOr,bp.com/AndNotOr",,"lower_bound: 900000, upper_bound: 999999","lower_bound: 5000, upper_bound: 5999",GBP,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003407},{""age"":""35-44"",""gender"":""male"",""percentage"":0.206066},{""age"":""25-34"",""gender"":""male"",""percentage"":0.184199},{""age"":""25-34"",""gender"":""female"",""percentage"":0.1454},{""age"":""35-44"",""gender"":""female"",""percentage"":0.186413},{""age"":""45-54"",""gender"":""male"",""percentage"":0.092897},{""age"":""55-64"",""gender"":""female"",""percentage"":0.044271},{""age"":""45-54"",""gender"":""female"",""percentage"":0.086597},{""age"":""55-64"",""gender"":""male"",""percentage"":0.045278},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002744},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00164},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001089}","{""region"":""Unknown"",""percentage"":3.7e-5},{""region"":""England"",""percentage"":0.999963}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
297721833431313,345463602161853,bp,2024-05-14,2024-05-16,,bp,"Above the sea and below. While today we’re mostly in oil & gas, we’re also
working to develop offshore wind with our partner EnBW. And, not or – that’s our approach.,Above the sea and below. While today we’re mostly in oil & gas, we’re also
working to develop offshore wind with our partner EnBW. And, not or – that’s our approach.","And, not or – that’s our approach.,And, not or – that’s our approach.","bp.com/AndNotOr,bp.com/AndNotOr",,"lower_bound: 450000, upper_bound: 499999","lower_bound: 2500, upper_bound: 2999",GBP,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000821},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003171},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001364},{""age"":""45-54"",""gender"":""female"",""percentage"":0.066623},{""age"":""35-44"",""gender"":""female"",""percentage"":0.133616},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062245},{""age"":""25-34"",""gender"":""male"",""percentage"":0.174752},{""age"":""25-34"",""gender"":""female"",""percentage"":0.094419},{""age"":""35-44"",""gender"":""male"",""percentage"":0.276383},{""age"":""45-54"",""gender"":""male"",""percentage"":0.151523},{""age"":""55-64"",""gender"":""female"",""percentage"":0.031722},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00336}","{""region"":""England"",""percentage"":0.999958},{""region"":""Unknown"",""percentage"":4.2e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
1153340575858013,345463602161853,bp,2024-05-14,2024-05-16,,bp,"We're working to bring more lower carbon energy to the UK – like hydrogen. And, we're keeping oil and gas flowing to help meet today's energy needs. And, not or – that's our
approach.","And, not or – that’s our approach.",bp.com/AndNotOr,,"lower_bound: 900000, upper_bound: 999999","lower_bound: 5000, upper_bound: 5999",GBP,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001182},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001096},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00346},{""age"":""55-64"",""gender"":""male"",""percentage"":0.044353},{""age"":""55-64"",""gender"":""female"",""percentage"":0.027565},{""age"":""45-54"",""gender"":""female"",""percentage"":0.063471},{""age"":""25-34"",""gender"":""male"",""percentage"":0.198143},{""age"":""45-54"",""gender"":""male"",""percentage"":0.116709},{""age"":""35-44"",""gender"":""female"",""percentage"":0.153133},{""age"":""25-34"",""gender"":""female"",""percentage"":0.117028},{""age"":""35-44"",""gender"":""male"",""percentage"":0.271124},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002736}","{""region"":""England"",""percentage"":0.999959},{""region"":""Unknown"",""percentage"":4.1e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
469499145519318,345463602161853,bp,2024-05-14,2024-05-16,,bp,"Above the sea and below. While today we’re mostly in oil & gas, we’re also
working to develop offshore wind with our partner EnBW. And, not or – that’s our approach.,Above the sea and below. While today we’re mostly in oil & gas, we’re also
working to develop offshore wind with our partner EnBW. And, not or – that’s our approach.","And, not or – that’s our approach.,And, not or – that’s our approach.","bp.com/AndNotOr,bp.com/AndNotOr",,"lower_bound: 400000, upper_bound: 449999","lower_bound: 2000, upper_bound: 2499",GBP,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00084},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00336},{""age"":""55-64"",""gender"":""male"",""percentage"":0.070436},{""age"":""55-64"",""gender"":""female"",""percentage"":0.051731},{""age"":""25-34"",""gender"":""female"",""percentage"":0.116288},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003176},{""age"":""45-54"",""gender"":""male"",""percentage"":0.123878},{""age"":""25-34"",""gender"":""male"",""percentage"":0.154569},{""age"":""45-54"",""gender"":""female"",""percentage"":0.088148},{""age"":""35-44"",""gender"":""female"",""percentage"":0.162395},{""age"":""35-44"",""gender"":""male"",""percentage"":0.223059},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00212}","{""region"":""Unknown"",""percentage"":1.0e-5},{""region"":""England"",""percentage"":0.99999}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",en
