Index,Ad Text,Search Result
0,"Hydrogen is versatile, plentiful, and could help significantly reduce CO₂ emissions from heavy industry.",Moderate
1,"In the land fuels business, a strong supply network is crucial.
At ExxonMobil we’re proud of the relationships we hold with world-class resellers across the world.
Hans Bauer’s family business first joined our network in the 1960s.

      ",
2,"Check out our latest Polyethylene Perspectives newsletter! In this edition, a selection of case studies demonstrating how our performance PE can help in formulations for silo bag films, pet food SUPs, rotomolded PE tanks, flexible packaging films and masterbatch solutions. https://lnkd.in/gnqTy_jg",Moderate
3,"Introducing our ‘Ask the expert’ series, in this first edition ExxonMobil’s Sheryl Rubin-Pitel breaks down the difference between biodiesel and renewable diesel. Watch part one below.
 
Any questions? Ask our experts! 

        ",Moderate
4,"Evolving and regionally diverse fuels regulations are helping to drive demand for renewable diesel made from bio-feedstocks such as vegetable oils, animal fats or used cooking oil. Getting the formulation right can be challenging.

Here’s an overview of the solutions we’ve developed to help refiners improve yields and meet specifications.

Learn more here: 

       ",Moderate
5,"Did you ever wonder what makes butyl rubber different from other elastomers? Isobutylene polymers have bigger bond angles than natural rubber, enabling a tightly packed molecular structure. Click here to learn about the unique and highly desirable properties this structure enables! ",
6,Improve your gear oils performance and lower formulation costs. Discover the benefits of EHC 340 MAX:trade_mark: today. ,
7,Carbon capture and storage (CCS) is considered essential to lowering CO₂ emissions from heavy industry and power generation.,
8,Carbon capture and storage (CCS) is considered essential to lowering CO₂ emissions from heavy industry and power generation.  ,
9,ExxonMobil has innovative backsheet solutions that can provide the hygiene industry with the specific benefits and attributes needed in various applications. Register now for our upcoming webinar on Dec 5 and find out how our PE breathable films can be designed to meet the needs of three main applications - (1) nonwoven multilayer disposable industrial applications; (2) warm pads solutions; and (3) backsheet films solutions.,
10,"Plastex 2024 is coming to Cairo in January. Join ExxonMobil as we exhibit solutions for the packaging, agriculture, industrial, consumer and construction markets showcasing sustainability benefits. We invite you to meet us at the show. Just fill out the form on our website to request a meeting and we will be in touch. ",
11,"ExxonMobil drilling first lithium well in Arkansas is the latest example of how we’re helping automakers meet the world’s evolving transportation needs while also working to reduce emissions. It completes our efforts to support EV battery manufacturers and recyclers in their efforts to recover and recycle lithium, cobalt, nickel and manganese via solvent extraction processes from used battery. ",Moderate
12,"Watch part two of our very first ‘Ask the expert’ episode with Sheryl Rubin-Pitel, Principal Engineer at ExxonMobil, delving into the differences between biodiesel and renewable diesel. 
 
        ",Low
13,Did you know that old and hardening grease may reduce a wind turbine’s power generation or result in unscheduled downtime? Watch our webinar to learn how to select the right cleaning agent.,
14,"Check out our latest issue of Polyethylene Perspective to see real-world cases on packaging and agricultural films! It also brings you the news on industry events, live & on-demand webinars. https://lnkd.in/gi9yFtnn",
15,Improve your gear oils performance and lower formulation costs. Discover the benefits of EHC 340 MAX:trade_mark: today. ,Low
16,"Join our team at the Vinyl Compounders Conference and Vinyl Sustainability Summit next week in Austin, TX!

We look forward to having great conversations about sustainability and the future of our industry.",Low
17,"Renewable diesel is an engine-ready product which can be used in many passenger cars or commercial vehicles that utilize diesel fuel.
 
Find out how we’re working to keep heavy transportation going, while moving towards a net zero future.

Learn more: 
 
        ",Low
18,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
19,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
20,"Lower-emission fuels have the high energy density required to meet the needs of commercial transportation. 

In Canada, the project with ExxonMobil’s affiliate, Imperial Oil, is designed to use low-carbon hydrogen, canola oil feedstock, and our proprietary catalyst to produce approximately 20,000 barrels per day of renewable diesel, thereby reducing transportation-related emissions by about 3 million metric tons of CO₂-equivalent annually.

Learn more:  

       ",Moderate
21,"Synthetic base stocks can be leveraged in a wide range of applications from transportation to heavy industries, where their intrinsic performance attributes can deliver potential sustainability related benefits along the value chain.
https://lnkd.in/gPMRX5_U",Low
22,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
23,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
24,"ExxonMobil can help by supplying base stocks and formulating finished lubricants that can improve fuel economy, offer the potential for enhanced energy efficiency and improved durability. https://lnkd.in/gtnEFsPa",Moderate
25,"How does your alcohol's purity affect your surfactant manufacturing process?

Watch the product flow comparison test video below to see how our linear-efficient Exxal:trade_mark: 1315 LE alcohol can help you avoid common issues during surfactant manufacturing operations.",
26,We've got you covered in the second issue of our packaging newsletter It's a wrap! Subscribe now to get the latest news on innovative packaging solutions. https://lnkd.in/gDAfU-4i,Low
27,"How does LAO purity affect  your drag reduction agents' performance?

Whether LAOs are key ingredients for your drag reducing agents in Oil and Gas, or other applications, Elevexx’s high-purity and performance may help you and your customers deliver better business results.",
28,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
29,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
30,"The strength of the automotive industry’s global supply chains has been tested in ways that we could only ever have dreamed. Now, it's created new ways for automotive supply chains to transform.
Recent disruptions will only continue into the foreseeable future and will bring both familiar and unfamiliar complications. Future-proofing the supply chain through institutional expertise, advanced analytics, an ecosystem of trusted partners, global inventory, and capacity can bring about long-term resiliency for years to come.",Moderate
31,"ExxonMobil unveiled a comprehensive suite of data center immersion fluids at the Open Compute Project Summit! The portfolio was launched alongside an immersive art experience at the Block Party and immersed gaming experience at the booth.
The reaction to the immersive 3D art at the Block Party aligned with our theme of That’s cool. Kurt Wenner, inventor of 3D pavement art, designed the immersive art experience illustrating the new Data center immersion fluid. 
We hope you enjoy our candids captured at the OCP Summit and invite you to learn more about our Data center immersion fluids. ",Moderate
32,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
33,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
34,"Exact:trade_mark: polyolefin elastomers (POE) with its diverse range of melt indices (MI), density and comonomer types, complements Achieve:trade_mark: Advanced PP and ExxonMobil:trade_mark: PP solutions thereby helping provide a comprehensive product portfolio to the automotive compounding industry. https://lnkd.in/gfqUxaqu",
35,"Film durability, solar radiation levels and light conditions are some of the important considerations for greenhouses in tropical climates. Read this case study to learn how ExxonMobil, Ampacet, and Vis and Son Company Limited (VSC) worked together to study durable cooling diffused films designed to meet the challenges of tropical greenhouses. ",
36,"ExxonMobil can help by supplying base stocks and formulating finished lubricants that can improve fuel economy, offer the potential for enhanced energy efficiency and improved durability.
 https://lnkd.in/gtnEFsPa",Moderate
37,"Get the lowdown on how the global polyethylene market is performing in the latest issue of our PE Market Insights newsletter. In the same issue, read about how ExxonMobil’s Exxtend:trade_mark: technology for advanced recycling goes global through collaboration with our value chain partners. ",
38,"ExxonMobil offers NDA Prime, a neodecanoic carboxylic acid with a long and highly branched alkyl chemical
structure.",
39,"ExxonMobil, Tobe Packaging Industries Pte Ltd and Aegis Packaging worked together to address an increasing demand for mono-material, recyclable flexible films in food packaging applications. This film, with ExxonMobil’s performance polyethylene Exceed S in the substrate layer, demonstrated excellent stiffness, good melt strength, excellent bubble stability and comparable melt pressure. Read the case study  and article  to find out more.",
40,"ExxonMobil Licenses Fluid Bed Methanol-to-Gasoline Technology to Aramco for synthetic fuel demonstration plant in NEOM, Saudi Arabia. ",
41,"We very much enjoyed connecting with you at AOSDAC2023 and discussing about the #futureofgreen in surfactants for Asia and Oceania.

Did you miss Francois Simal's presentation on surfactant carbon footprint?

Learn more about our alcohols stay tuned for more information here: ",
42,"Looking for a performance polyethylene (PE) that's suitable for your application. Use our product finder to explore our industry leading performance PE resins, which have been designed for a broad range of applications.  
North America: 
Africa, Middle East, Asia Pacific, Europe: ",
43,"Are you looking for PE thermoformed packaging that can offer recyclability* and uncompromising package functionality and optics?  See how a collaboration with Reifenhauser, ExxonMobil and Kuraray resulted in the creation of a 95 wt% PE thermoformed package, consisting of a formed PE/EVOH bottom web and PE/EVOH lid film - with both high oxygen barrier and outstanding package integrity through optimized corner thickness and puncture. 

*Recyclable in communities with programs and facilities in place that collect and recycle plastic film.",Moderate
44,"Mono-material solutions can now be made more heat resistant, allowing them to run on conventional Vertical Form Fill Seal (VFFS) packaging machines. Read the factsheet to learn how ExxonMobil and Siegwerk collaborated to produce such a film. https://lnkd.in/gWmTs7YA",
45,"Join us at the 2023 OCP Global Summit in San Jose, California, October 17-19! Be sure to snap a photo in our immersive OCP Block Party experience and stop by booth A32 for the unveiling of a big announcement. Don't miss out on the excitement!  That’s cool. https://lnkd.in/gVaW_amt",
46,"In case you missed us at the International Elastomer Conference!

The one place, one time a year, where you find the best of our industry all under one roof. Where connections are made, knowledge is shared, new products, new technology and new ideas are introduced and the future is embraced.  Check out our portfolio of Vistalon products.",
47,"We can't wait to see you, Oct. 7-10 at the ILMA Annual Meeting in Palm Desert, California! Stop by our booth for a visit with our team to learn how we're expanding our business to grow with yours! https://lnkd.in/gq-7_3sV",Low
48,"Hello and welcome to our new Global Land Fuels channel, bringing you the latest news and views from the sector.
Follow us for regular updates on how land transport is evolving. We’ll also share news on our lower-emission fuels and high-performance fuels portfolio, all designed to help drive progress in land transportation.
Any questions? Ask our experts!
 
We look forward to our journey together.

For further information please visit 
 
      ",
49,"ExxonMobil has been powering land transport for more than a century. Who better to talk about our progress than Andy Hattersley, Global Senior Fuels Product Advisor, who’s personally been a been part of that journey for nearly three decades.

In this video, Andy talks about the role we and our products play in a complex transport ecosystem, helping keep people and goods moving productively and efficiently, in support of advancing society's evolving needs.

      ",
50,"Reducing emissions to support a net-zero future in on road, off-road and rail transportation is a journey that will require a portfolio of approaches.

At ExxonMobil, we have capabilities in large-scale solutions, proven technology expertise, and experience working with key industry stakeholders to create meaningful energy product solutions.

Read our position paper in full here: 
 
      ",
51,"Join us 15 Nov at 3 PM GMT and 16 Nov at 6 AM GMT for a discussion on EHC 340 MAX:trade_mark:, the lubricant industry’s newest cutting-edge innovation.",
52,Do you know how diluents play a role in metal extraction process efficiency? In this seminar Dr. Blaise Bridier presents the properties and performance criteria required to select the diluent that would best fit your purpose.,
53,"Shipping fragile or delicate items? ExxonMobil and Zhejiang Jujie New Material Co., Ltd. collaborated to create an air bag solution that offers the opportunity for material cost savings with comparable mechanical performance. Read the case study to find out more about these downgauged air column bags that offer premium protection during transportation. ",
54,"Announcing the launch of our broad portfolio of data center immersion fluid products at OCP 2023.
OEMs and end-users benefits include:
• Effectively removes heat, thanks to lower viscosity levels
• Increases the lifespan of hardware
• Reduces total cost of ownership by up to 40%¹, including saving up to 35%¹ in CAPEX costs and up to 50%¹ in OPEX costs
• Bolsters sustainability compliance, by lowering Power Usage Effectiveness (PUE)
Let’s meet! <Button: Pardot form link> Stop by booth A32 to learn how ExxonMobil:trade_mark: Data center immersion fluids can help optimize your data center’s performance.",Moderate
55,"Join us 15 Nov at 3 PM GMT and 16 Nov at 6 AM GMT for a discussion on EHC 340 MAX:trade_mark:, the lubricant industry’s newest cutting-edge innovation.",
56,"We can't wait to see you, Oct. 7-10 at the ILMA Annual Meeting in Palm Desert, California! Stop by our booth for a visit with our team to learn how we're expanding our business to grow with yours! 
 https://lnkd.in/gq-7_3sV",
57,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
58,We are excited to announce Jane Mogina as the Pioneer Award winner for the 2023 Power Play Awards! Gain insight on all of this year’s winners today.,Low
59,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
60,Congratulations to the 2023 Power Play Award winners! Discover additional information about these impressive individuals today.,
61,"We’re excited to announce the startup of our new linear alpha olefins unit at our integrated petrochemical complex in Baytown, Texas.",Low
62,"ExxonMobil and Windmoeller & Hoelscher have been working together for over a decade developing innovative solutions to meet the ever-evolving plastic film market demands. In this webinar, we will share not only the important extrusion technology & latest performance polyethylene resins which are key components in the making of high quality MDO PE film, but also the downstream converting technologies that support the manufacturing of recyclable* flexible packaging. ",Moderate
63,"Want to enhance your mulch films & silage solutions? Our Performance Polyethylene can help! Join our webinar <link to webinar registration> to get an overview of trends & opportunities in the agriculture film market, specifically mulch & silo bag markets. 
Thinner, but highly durable mulch films use less material and offer downgauging and sustainability benefits. High-performance silage solutions can help protect grains and silage — with enhanced toughness, aging performance, and ease of use. ",Moderate
64,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
65,Sarah Hanes is this year’s Rising Star Award winner for the Power Play Awards. See why Sarah and the other 2023 winners stood out. ,
66,Get to know the bright young individuals who have been named this year’s Rising Star Award finalists! Be on the lookout for the official winner announcement during Gastech 2023.,
67,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
68,A proven alternative to more expensive formulations to achieve General Motors dexos1 performance. Discover EHC:trade_mark: 45 base stock today.,
69,Looking to grow your industrial packaging business? Want to understand the HDPE market? Need properties & uses of our polyethylene products? Check out the latest issue of Polyethylene Perspectives newsletter now! https://lnkd.in/gQwwsHcr,
70,This year’s Ambassador Award winner for the Power Play Awards is Rakhi Oli. Learn more about Rakhi and our other 2023 winners. ,
71,Demand for high-performance lubricants is growing. Discover how we're expanding production of our global EHC:trade_mark: Group II slate.,
72,How can the benefits of slight branching in a highly-linear alcohol improve your surfactant formulations?,
73,See how ExxonMobil collaborated with Alpine to create a >95% PE high oxygen barrier pouch - as an alternative to more difficult to recycle multimaterial high oxygen barrier laminates – with unique aesthetics thanks to digital printing. https://lnkd.in/giYC4_bc,Moderate
