Index,Ad Text,Search Result
0,Build innovative tech and efficient tools so we can deliver today and transform tomorrow.,
1,"Ready for a career with scale and impact? If you’re as passionate as we are about making a difference, explore our offshore wind roles.  
Power your career in engineering and help us achieve our ambition to be a net zero company by 2050 or sooner.
 
   ",
2,"Looking for an opportunity to drive positive, lasting change in the energy sector? Join bp.",
3,Experience a new era for trading & shipping and become one of the pioneers leading the mission to #NetZero #lifeatbp,Low
4,"The world’s first-ever transatlantic flight fuelled on 100% sustainable aviation fuel (SAF) by a commercial airline.
While today we keep people and goods moving around the world with conventional jet fuel, we're also working to scale up SAF, and this is just the next step on our SAF journey as bp transitions to become an integrated energy company.",Moderate
5,"Let us help your business transition to electric vehicles with fully funded, ultra-fast charging in convenient locations – plus discounted rates for your fleet drivers",Low
6,"Engineered TCR T cell therapy may provide breakthroughs in curing cancers or autoimmune diseases. Similar to CAR-T cell therapy, this approach uses the patient's own cells to provide long-term protection from disease. Read more about our antigen-specific TCR research tools! #tcr #cancerresearch  ",
7,"We’re offering your business the opportunity to host ultra-fast EV chargers on convenient sites, funded by us. 

As well as providing your business with annual rental income from public chargers on your hub, your fleet drivers will benefit from dedicated bays and discounted rates on charging across our UK network ",Moderate
8,"Avoid the expense of EV charging infrastructure with bp pulse’s Host a Charger service. 
We’re inviting your business to host a charging hub, fully funded by us, that’ll provide your fleet drivers with dedicated bays and discounted charging rates.",Moderate
9,"Our host a charger service can benefit both your business and fleet drivers by:
Providing your business with fully-funded ultra-fast EV chargers on a convenient site, plus annual rental income from your hub’s public charging bays 
Providing your drivers with dedicated charging bays, plus discounted UK-wide charging across our network",
10,"Futureproof your skills in a more meaningful career in trading & shipping, as together we journey to #NetZero #lifeatbp",
11,"Become a public network partner and access fully-funded, ultra-fast EV charging in convenient locations for your fleet",Moderate
12,We’ve obscured this image because the ad is restricted.,Low
13,Subscribe and save with bp pulse. Participating chargers only. Payment via bp pulse charge card or app required. T&Cs apply. See bppulse.co.uk,
14,Download the bp pulse app to find your nearest bp pulse charger. Ts & Cs apply. See bppulse.co.uk,Low
