Index,Ad Text,Search Result
0,The CANSOLV CO2 Capture System is highly adaptable to a wide variety of industrial applications. View our fact sheet for insights to back your investment. ,Moderate
1,"In construction, equipment reliability is critical – even in unforgiving environments. That’s why the Shell Tellus S4 VE range of hydraulic fluids has been engineered to help deliver enhanced wear protection, longer oil life and higher system efficiency – across a range of stationary and mobile equipment and applications – so your plans, projects and timelines run smoothly. 

Find out more 

   ",
2,"[Register] Discover how hydrocracker upgrades could help process heavier, cheaper crudes & non-standard feeds and help target higher margin products",
3,The CANSOLV CO2 Capture System can help refiners meet greenhouse gas abatement regulations. Gain insights into this innovative technology today.  ,Moderate
4,[Register] Join the executive session to learn how leveraging hydrocracker flexibility could help mitigate today’s huge market volatility. ,
5,There are many technology pathways for refiners. Learn how they can help you to grow profits while being compliant with current and future legislation.,
6,"As a low capital expenditure option, co-processing, with the potential for 10% biofeeds, is a sensible place for refiners to start expanding into renewables.",
7,Working with a global trader of biofuels could help to maximise your products' value and support you as you expand into renewables.,
8,[Register] Join the discussion on how shorter-term refining optimisations could help mitigate market voltaility through hydrocracker flexibility.,
9,"This patented CO2 capture technology offers cutting-edge performance, including low parasitic energy consumption, fast kinetics and extremely low volatility.",
10,Artificial intelligence and other digital technologies can help discover new materials for the energy transition. Find out more about how Shell is using these technologies today https://lnkd.in/e4iXqyQ5,Low
11,"Together with global premium wine producer Treasury Wine Estates, we are developing on-site solar powered solutions to meet their emission reduction goals. 

Discover how we could work together to find your energy solution at ",Low
12,"Boost the cleansing and foaming properties consumers demand in sustainable personal care products. Shell NEODOL(R) improves performance, handling properties and compatibility with other ingredients in formulations. Its unique alcohol structure makes it readily biodegradable and provides excellent emulsification and cleansing due to its 80% linear, 20% branched composition. 

Learn more about the benefits of Shell NEODOL for your business and its customers: 

  ",
13,"Around the world, more than 70% of consumers won’t compromise performance when personal care brands make formulation changes for sustainability (Foresight Factory Study, February 2023). 

Companies that can secure reliable access to high-performing, sustainable ingredients can help meet consumer demand while retaining product performance.

Learn more about how you can advance sustainability in personal care: 

  ",
14,"It’s been 18 months since we launched our blockchain powered book-and-claim solution, Avelia, that allows airlines and business to access sustainable aviation fuel (SAF) and share the benefits. With the aim to generate the scale of SAF needed to help the sector decarbonise, Avelia is delivering results we are proud to share.  

We thank all our airline and corporate customers that have joined Avelia so far, and of course to our fellow collaborators. 

Cautionary note: ",Moderate
15,"Retain product quality and performance with a certified mass balance approach. Mass balance enables transparency in co-processing conventional and sustainable materials through independent third-party organisations.

Download the fact sheet to learn how mass balance can help your business drive sustainability initiatives forward: 

  ",
16,"Together with data storage provider Western Digital, we are supporting their power supply by providing solar and geothermal energy, which helps reduce their CO2 emissions in the Philippines.

Discover how we could work together to find your energy solution at ",Moderate
17,"Together with city gas distributor AG&P Pratham, we are building a virtual pipeline to supply natural gas to off-grid customers in India. 

Discover how we could work together to find your energy solution at ",Low
18,"Manufacturers seeking to transition from petrochemical-based feedstocks to bio-based ones can help create transparency into sustainability claims through third party certifications.  

Learn more about how third party certifcations can help you make sustainability claims in a complex value chain.



  ",
19,"From the laundry and personal care products in our homes to auto parts like tyres and seat cushions in our vehicles, chemicals are in the products we depend on every day. 

Discover how Shell Chemicals' ‘building blocks’ can help manufacturers create essential chemical-based products. No matter where your company is in its sustainability journey,  together we can create customised solutions that meet your needs.



  ",
20,"As EV adoption rates continue to grow, partnerships that pair innovative digital solutions and collaborative thinking are vital to enhancing the EV experience. :light_bulb:

We’ve joined forces with BYD to develop a more seamless charging ecosystem. Together, we're working to simplify payment for BYD customers – offering Shell Recharge network membership to at least 100,000 drivers across 500,000 Shell DC charge points in Europe. 

For a deeper dive into our journey with BYD, head over to our website.:high_voltage:",Moderate
