ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
742659074672063,228249960960213,"Simon Clarke MP",2024-03-23,2024-03-23,2024-03-26,"Simon Clarke MP","As Teesside forges ahead 💪Labour claim we're falling behind 🥀 

They really should try to keep up.

On the same day Labour took to BBC Question Time to, once again, talk down Teesside, I visited the huge SeAH Wind Turbine Monopile Factory, set to open by next year along with Ben Houchen - Tees Valley Mayor .

It's an engineering marvel, towering at 40 metres and stretching 900 metres - as large as four Riverside Stadiums side by side. 

It's literally going to bring thousands of great jobs to our region.  So I'm afraid Labour are, at best, horribly uninformed, and at worst?  Deliberately misleading. 🥀

Alongside Ben Houchen, I've witnessed first-hand the strides we're making, from the New South Bank Quay to future carbon capture initiatives with BP, Equinor, and Total. 

Teesside's revival hinges on the success of projects like Teesworks. 

It's exhilarating to see such innovation taking root in our backyard.

We built the world, and we are coming back!","As Teesside forges ahead 💪Labour claim we're falling behind - they really should try to keep up 🥀",,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 100, upper_bound: 199",GBP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000165},{""age"":""18-24"",""gender"":""male"",""percentage"":0.026147},{""age"":""25-34"",""gender"":""female"",""percentage"":0.038945},{""age"":""25-34"",""gender"":""male"",""percentage"":0.1015},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002538},{""age"":""45-54"",""gender"":""male"",""percentage"":0.106355},{""age"":""55-64"",""gender"":""female"",""percentage"":0.097639},{""age"":""35-44"",""gender"":""male"",""percentage"":0.123952},{""age"":""18-24"",""gender"":""female"",""percentage"":0.009874},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000662},{""age"":""35-44"",""gender"":""female"",""percentage"":0.061452},{""age"":""65+"",""gender"":""male"",""percentage"":0.109058},{""age"":""45-54"",""gender"":""female"",""percentage"":0.070444},{""age"":""55-64"",""gender"":""male"",""percentage"":0.122904},{""age"":""65+"",""gender"":""female"",""percentage"":0.119594},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002703},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003199},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002868}","{""region"":""England"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",en
1856346934815572,1934566156780439,"Ben Houchen - Tees Valley Mayor",2024-03-15,2024-03-15,2024-03-25,"The Conservative Party","The biggest investment in Teesside since ICI 💪 

💷 £4BN OF CONTRACTS AWARDED
🏗 4,000 CONSTRUCTION JOBS
👷‍♂️ 1,000 OPERATIONAL JOBS
💪 BIG CONTRACT WIN FOR LIBERTY STEEL IN HARTLEPOOL

This represents a huge step forward for another massive project on Teesworks that will create good-quality, well-paid jobs for local people.

Investment like this can go anywhere in the world, but because of the work we’ve done to make Teesside a great place to invest, this project is coming to here 👊

Jobs, investment and progress is exactly what Teesworks is meant to deliver and our plan is working.",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 0, upper_bound: 99",GBP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.0001},{""age"":""65+"",""gender"":""male"",""percentage"":0.14995},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003009},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002508},{""age"":""18-24"",""gender"":""male"",""percentage"":0.013942},{""age"":""55-64"",""gender"":""female"",""percentage"":0.067202},{""age"":""65+"",""gender"":""female"",""percentage"":0.102106},{""age"":""35-44"",""gender"":""male"",""percentage"":0.158676},{""age"":""45-54"",""gender"":""male"",""percentage"":0.17332},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002006},{""age"":""25-34"",""gender"":""male"",""percentage"":0.077031},{""age"":""55-64"",""gender"":""male"",""percentage"":0.177834},{""age"":""45-54"",""gender"":""female"",""percentage"":0.041926},{""age"":""35-44"",""gender"":""female"",""percentage"":0.019157},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001204},{""age"":""25-34"",""gender"":""female"",""percentage"":0.00682},{""age"":""18-24"",""gender"":""female"",""percentage"":0.002808},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000401}","{""region"":""England"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
1404239033798699,1934566156780439,"Ben Houchen - Tees Valley Mayor",2024-03-15,2024-03-15,2024-03-20,"The Conservative Party","🚨£4BILLION OF CONTRACTS AWARDED FOR NET ZERO TEESSIDE 🤩 

bp and Equinor have just announced 8️⃣ MAJOR CONTRACTS for their £4bn carbon capture enabled power station that’s coming to Teesside, and there’s lots of opportunity for local firms to get involved. 

👷‍♀️New figures show the project could create up to 4,000 construction jobs and up to 1,000 operational jobs once up and running. 

I’m a huge champion of our local firms and local jobs, so we’ve secured a number of local contractor events to help our businesses get stuck into the delivery of this incredible project. Keep an eye out for more details on these soon 👀 

✅ Planning is sorted, remediation work is underway, contractors now announced and once we get sign off from investors later this year, we’ll get spades in the ground and this world-first project DELIVERED 

This is incredible news for Teesworks, for local firms and for progress across Teesside, Darlington and Hartlepool 💪

For more info, click here 👉 https://www.netzeroteesside.co.uk/news/net-zero-teesside-power-and-the-northern-endurance-partnership-select-contractors-for-c-4bn-construction-contracts/",,fb.com,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 100, upper_bound: 199",GBP,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000942},{""age"":""25-34"",""gender"":""male"",""percentage"":0.180683},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002945},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002709},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003298},{""age"":""55-64"",""gender"":""female"",""percentage"":0.058657},{""age"":""65+"",""gender"":""male"",""percentage"":0.065018},{""age"":""35-44"",""gender"":""male"",""percentage"":0.179859},{""age"":""18-24"",""gender"":""female"",""percentage"":0.012956},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000707},{""age"":""35-44"",""gender"":""female"",""percentage"":0.04629},{""age"":""18-24"",""gender"":""male"",""percentage"":0.066549},{""age"":""45-54"",""gender"":""male"",""percentage"":0.134276},{""age"":""55-64"",""gender"":""male"",""percentage"":0.113428},{""age"":""25-34"",""gender"":""female"",""percentage"":0.026737},{""age"":""45-54"",""gender"":""female"",""percentage"":0.05053},{""age"":""65+"",""gender"":""female"",""percentage"":0.053357},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00106}","{""region"":""England"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",en
7287388434670175,112602514407520,"Stop Cambo",2024-03-11,2024-03-11,2024-03-23,"Stop Cambo","The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.,The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.","Sign the petition >>>,Sign the petition >>>","http://stoprosebank.org.uk,http://stoprosebank.org.uk",,"lower_bound: 80000, upper_bound: 89999","lower_bound: 700, upper_bound: 799",GBP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000349},{""age"":""35-44"",""gender"":""female"",""percentage"":0.057499},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005632},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002256},{""age"":""25-34"",""gender"":""male"",""percentage"":0.033516},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001193},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.007771},{""age"":""45-54"",""gender"":""male"",""percentage"":0.115595},{""age"":""65+"",""gender"":""female"",""percentage"":0.110647},{""age"":""18-24"",""gender"":""female"",""percentage"":0.003435},{""age"":""45-54"",""gender"":""female"",""percentage"":0.071674},{""age"":""65+"",""gender"":""male"",""percentage"":0.189306},{""age"":""55-64"",""gender"":""female"",""percentage"":0.10551},{""age"":""55-64"",""gender"":""male"",""percentage"":0.184853},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004031},{""age"":""35-44"",""gender"":""male"",""percentage"":0.082269},{""age"":""18-24"",""gender"":""male"",""percentage"":0.006083},{""age"":""25-34"",""gender"":""female"",""percentage"":0.018381}","{""region"":""Unknown"",""percentage"":0.002523},{""region"":""England"",""percentage"":0.813102},{""region"":""Wales"",""percentage"":0.072565},{""region"":""Scotland"",""percentage"":0.09419},{""region"":""Northern Ireland"",""percentage"":0.01762}","facebook,instagram","lower_bound: 1000001",en
1585718028880146,112602514407520,"Stop Cambo",2024-03-11,2024-03-11,2024-03-23,"Stop Cambo","The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.,The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.","Sign the petition >>>,Sign the petition >>>","http://stoprosebank.org.uk,http://stoprosebank.org.uk",,"lower_bound: 40000, upper_bound: 44999","lower_bound: 400, upper_bound: 499",GBP,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.038655},{""age"":""25-34"",""gender"":""male"",""percentage"":0.013973},{""age"":""18-24"",""gender"":""female"",""percentage"":0.003792},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004108},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001931},{""age"":""25-34"",""gender"":""female"",""percentage"":0.015448},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000421},{""age"":""35-44"",""gender"":""male"",""percentage"":0.031668},{""age"":""18-24"",""gender"":""male"",""percentage"":0.004073},{""age"":""45-54"",""gender"":""female"",""percentage"":0.068813},{""age"":""45-54"",""gender"":""male"",""percentage"":0.068427},{""age"":""55-64"",""gender"":""female"",""percentage"":0.141031},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005933},{""age"":""55-64"",""gender"":""male"",""percentage"":0.145876},{""age"":""65+"",""gender"":""male"",""percentage"":0.22768},{""age"":""65+"",""gender"":""female"",""percentage"":0.217674},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.009409},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001088}","{""region"":""Unknown"",""percentage"":0.008825},{""region"":""England"",""percentage"":0.793643},{""region"":""Wales"",""percentage"":0.072606},{""region"":""Scotland"",""percentage"":0.110228},{""region"":""Northern Ireland"",""percentage"":0.014697}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",en
927943088812642,112602514407520,"Stop Cambo",2024-03-08,2024-03-11,2024-03-22,"Stop Cambo","The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.,The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.","Sign the petition >>>,Sign the petition >>>","http://stoprosebank.org.uk,http://stoprosebank.org.uk",,"lower_bound: 8000, upper_bound: 8999","lower_bound: 0, upper_bound: 99",GBP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000152},{""age"":""35-44"",""gender"":""male"",""percentage"":0.034877},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001523},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.011727},{""age"":""25-34"",""gender"":""female"",""percentage"":0.008376},{""age"":""65+"",""gender"":""female"",""percentage"":0.132348},{""age"":""65+"",""gender"":""male"",""percentage"":0.27216},{""age"":""55-64"",""gender"":""female"",""percentage"":0.103107},{""age"":""45-54"",""gender"":""male"",""percentage"":0.099756},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000914},{""age"":""18-24"",""gender"":""male"",""percentage"":0.004874},{""age"":""25-34"",""gender"":""male"",""percentage"":0.012793},{""age"":""55-64"",""gender"":""male"",""percentage"":0.229973},{""age"":""45-54"",""gender"":""female"",""percentage"":0.050411},{""age"":""35-44"",""gender"":""female"",""percentage"":0.021779},{""age"":""18-24"",""gender"":""female"",""percentage"":0.003046},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004264},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00792}","{""region"":""Unknown"",""percentage"":0.000894},{""region"":""England"",""percentage"":0.79112},{""region"":""Wales"",""percentage"":0.071663},{""region"":""Scotland"",""percentage"":0.119487},{""region"":""Northern Ireland"",""percentage"":0.016836}","facebook,instagram","lower_bound: 1000001",en
6929054157221248,112602514407520,"Stop Cambo",2024-03-08,2024-03-11,2024-03-23,"Stop Cambo","The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.,The government admits that new oil and gas fields won't reduce your energy bills. The only people that profit are the oil giants.","Sign the petition >>>,Sign the petition >>>","http://stoprosebank.org.uk,http://stoprosebank.org.uk",,"lower_bound: 9000, upper_bound: 9999","lower_bound: 0, upper_bound: 99",GBP,"{""age"":""65+"",""gender"":""male"",""percentage"":0.272699},{""age"":""55-64"",""gender"":""female"",""percentage"":0.122691},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00079},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001263},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.007579},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.012474},{""age"":""55-64"",""gender"":""male"",""percentage"":0.173535},{""age"":""45-54"",""gender"":""female"",""percentage"":0.050055},{""age"":""65+"",""gender"":""female"",""percentage"":0.219643},{""age"":""18-24"",""gender"":""male"",""percentage"":0.003632},{""age"":""25-34"",""gender"":""male"",""percentage"":0.008369},{""age"":""45-54"",""gender"":""male"",""percentage"":0.066161},{""age"":""35-44"",""gender"":""female"",""percentage"":0.019106},{""age"":""25-34"",""gender"":""female"",""percentage"":0.008843},{""age"":""35-44"",""gender"":""male"",""percentage"":0.025422},{""age"":""18-24"",""gender"":""female"",""percentage"":0.004105},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000632}","{""region"":""Unknown"",""percentage"":0.002028},{""region"":""England"",""percentage"":0.792356},{""region"":""Wales"",""percentage"":0.074727},{""region"":""Scotland"",""percentage"":0.117005},{""region"":""Northern Ireland"",""percentage"":0.013885}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",en
393179523417862,101255718164248,"350 UK",2024-03-04,2024-03-04,2024-03-06,350.org,"£3.75 BILLION in taxpayers’ money for Rosebank oil field, while profits go to Norwegian company Equinor and their shareholders. Agree this is outrageous? Sign the petition.,Norwegian oil giant Equinor rakes in BILLIONS in profits, while UK taxpayers foot the bill for their new oil field. Agree this is outrageous? Add your name to Stop Rosebank.,Our energy bills have DOUBLED since 2022. Make no mistake: Oil companies like Equinor exist for profit, not the planet. Tell Equinor to Stop Rosebank now!,While the rest of us struggle with inflation and energy bills, oil giants get tax breaks to make billions in profit. Take a stand against the Rosebank oil field in the North Sea.,Fact: Most North Sea oil is exported overseas. New oil fields like Rosebank won’t lower our bills, they’ll just make the climate crisis worse. Sign the petition to take a stand.","Sign the petition,Add your name,Stop Rosebank!,Hold them to account,Stop Rosebank: Sign now",act.350.org,"Stop the Rosebank oil field","lower_bound: 5000, upper_bound: 5999","lower_bound: 0, upper_bound: 99",GBP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.005783},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002356},{""age"":""35-44"",""gender"":""female"",""percentage"":0.101306},{""age"":""55-64"",""gender"":""male"",""percentage"":0.168344},{""age"":""25-34"",""gender"":""female"",""percentage"":0.071536},{""age"":""55-64"",""gender"":""female"",""percentage"":0.252731},{""age"":""45-54"",""gender"":""male"",""percentage"":0.099807},{""age"":""18-24"",""gender"":""male"",""percentage"":0.01949},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.014778},{""age"":""45-54"",""gender"":""female"",""percentage"":0.118441},{""age"":""35-44"",""gender"":""male"",""percentage"":0.051403},{""age"":""25-34"",""gender"":""male"",""percentage"":0.051403},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004498},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003427},{""age"":""18-24"",""gender"":""female"",""percentage"":0.034697}","{""region"":""England"",""percentage"":0.812119},{""region"":""Wales"",""percentage"":0.055798},{""region"":""Scotland"",""percentage"":0.115083},{""region"":""Northern Ireland"",""percentage"":0.017001}","facebook,instagram","lower_bound: 1000001",en
431759279196906,101255718164248,"350 UK",2024-03-04,2024-03-04,2024-03-08,350.org,"£3.75 BILLION in taxpayers’ money for Rosebank oil field, while profits go to Norwegian company Equinor and their shareholders. Agree this is outrageous? Sign the petition.,Norwegian oil giant Equinor rakes in BILLIONS in profits, while UK taxpayers foot the bill for their new oil field. Agree this is outrageous? Add your name to Stop Rosebank.,Our energy bills have DOUBLED since 2022. Make no mistake: Oil companies like Equinor exist for profit, not the planet. Tell Equinor to Stop Rosebank now!,While the rest of us struggle with inflation and energy bills, oil giants get tax breaks to make billions in profit. Take a stand against the Rosebank oil field in the North Sea.,Fact: Most North Sea oil is exported overseas. New oil fields like Rosebank won’t lower our bills, they’ll just make the climate crisis worse. Sign the petition to take a stand.","Sign the petition,Add your name,Stop Rosebank!,Hold them to account,Stop Rosebank: Sign now",act.350.org,"Stop the Rosebank oil field","lower_bound: 25000, upper_bound: 29999","lower_bound: 300, upper_bound: 399",GBP,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.006508},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00554},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.006885},{""age"":""18-24"",""gender"":""female"",""percentage"":0.062984},{""age"":""55-64"",""gender"":""male"",""percentage"":0.131347},{""age"":""55-64"",""gender"":""female"",""percentage"":0.230852},{""age"":""35-44"",""gender"":""male"",""percentage"":0.063361},{""age"":""45-54"",""gender"":""female"",""percentage"":0.142319},{""age"":""45-54"",""gender"":""male"",""percentage"":0.088156},{""age"":""25-34"",""gender"":""female"",""percentage"":0.068793},{""age"":""35-44"",""gender"":""female"",""percentage"":0.098053},{""age"":""25-34"",""gender"":""male"",""percentage"":0.046256},{""age"":""18-24"",""gender"":""male"",""percentage"":0.040555},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004195},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004195}","{""region"":""England"",""percentage"":0.821167},{""region"":""Wales"",""percentage"":0.06187},{""region"":""Scotland"",""percentage"":0.099994},{""region"":""Northern Ireland"",""percentage"":0.016969}","facebook,instagram","lower_bound: 1000001",en
1423934051581549,101255718164248,"350 UK",2024-02-22,2024-02-26,2024-03-03,350.org,"£3.75 BILLION in taxpayers’ money for Rosebank oil field, while profits go to Norwegian company Equinor and their shareholders. Agree this is outrageous? Sign the petition.,Norwegian oil giant Equinor rakes in BILLIONS in profits, while UK taxpayers foot the bill for their new oil field. Agree this is outrageous? Add your name to Stop Rosebank.,Our energy bills have DOUBLED since 2022. Make no mistake: Oil companies like Equinor exist for profit, not the planet. Tell Equinor to Stop Rosebank now!,While the rest of us struggle with inflation and energy bills, oil giants get tax breaks to make billions in profit. Take a stand against the Rosebank oil field in the North Sea.,Fact: Most North Sea oil is exported overseas. New oil fields like Rosebank won’t lower our bills, they’ll just make the climate crisis worse. Sign the petition to take a stand.","Sign the petition,Add your name,Stop Rosebank!,Hold them to account,Stop Rosebank: Sign now",act.350.org,"Stop the Rosebank oil field","lower_bound: 60000, upper_bound: 69999","lower_bound: 600, upper_bound: 699",GBP,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003803},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.005611},{""age"":""18-24"",""gender"":""male"",""percentage"":0.032043},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00639},{""age"":""35-44"",""gender"":""female"",""percentage"":0.090082},{""age"":""45-54"",""gender"":""male"",""percentage"":0.123932},{""age"":""25-34"",""gender"":""female"",""percentage"":0.058974},{""age"":""55-64"",""gender"":""female"",""percentage"":0.189701},{""age"":""35-44"",""gender"":""male"",""percentage"":0.070725},{""age"":""45-54"",""gender"":""female"",""percentage"":0.124836},{""age"":""25-34"",""gender"":""male"",""percentage"":0.046693},{""age"":""18-24"",""gender"":""female"",""percentage"":0.050994},{""age"":""55-64"",""gender"":""male"",""percentage"":0.184402},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.007948},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003834},{""age"":""65+"",""gender"":""female"",""percentage"":3.1e-5}","{""region"":""Saint Peter Port"",""percentage"":9.2e-5},{""region"":""Unknown"",""percentage"":6.1e-5},{""region"":""England"",""percentage"":0.805401},{""region"":""Wales"",""percentage"":0.057573},{""region"":""Scotland"",""percentage"":0.119257},{""region"":""Northern Ireland"",""percentage"":0.017615}","facebook,instagram","lower_bound: 1000001",en
