text,user/name
"We’re proud to be a business where everyone can be themselves. From taking part in Pride marches to planting rainbow eucalyptus trees, bp colleagues from across the UK have come together to celebrate #Pride month.",bp
"Meet Agnes ⭐ a star member of our UK retail team and who has just celebrated her 40 year anniversary on the forecourt. 
 
A lot has changed since 1984 when Agnes joined bp – not least the uniform! But what hasn't changed is the sense of community at our stores. Keeping our colleagues safe and making sure our customers have a great experience remains the number one priority. 
 
Congratulations Agnes 🥳 we're lucky to have you!

on.bp.com/3z2IxRA",bp
"Congratulations to the 60 cyclists who completed bp's annual Coast 2 Coast cycle challenge this weekend!
 
Now in its 15th year, this year's riders turned their pedals 225 miles from Dumfries to Edinburgh, on to Dundee and then back to Aberdeen, in support of the charities that mean the most to them.
 
The funds raised by the event will be split equally between four charities - The Archie Foundation, Myeloma UK, Stella's Voice UK and Independence from Drugs and Alcohol Scotland at River Garden.",bp
,ExxonMobil
"🤔 Have you ever stopped to think how lithium-ion batteries help you do pretty much everything? 
Exactly! 👌 

And it’s all thanks to Dr. Stanley Whittingham, whose research at ExxonMobil in the 1970s led to the batteries that power EVs, smartphones and laptops ⚡ 

Our new lithium business manager, Patrick Howarth, wanted to thank him in person—and discuss the future of lithium production in the United States. Click below to join him on his trip! ✈️ 

https://corporate.exxonmobil.com/what-we-do/delivering-industrial-solutions/lithium/stanley-whittingham-lithium-ion-battery-patrick-howarth",ExxonMobil
"How do we help meet society’s needs and reward shareholders? 

Darren Woods, our chairman and CEO, shared how in our Corporate Plan update today. 

“The strategy we’ve developed, competitive advantages we possess, organization we’ve built, the performance we’re delivering, and the shareholder returns we’re generating, adds up to what we believe is the most compelling investment case in the industry.”

See what’s new here: https://corporate.exxonmobil.com/news/news-releases/2023/1206_exxonmobil-corporate-plan",ExxonMobil
"At over 300 metres long, 120 metres tall and with a bright orange hull, the Johan Castberg floating production vessel has been quite a visible sight quayside at Aker Solutions ’ Stord yard the last two years.

On 30 May the landmark left for sea trials in Klosterfjorden, before it heads home to the Barents Sea towards the end of summer.

Johan Castberg will provide value creation, energy security, jobs and ripple effects for 30 years to come.",Equinor
"Hooray for Johan Castberg! 🎉

Just before 1200 Norway time on 30 May, we cut the last mooring line that tied the production vessel to the quay at Aker Solutions in Stord. Now it will be several decades before the ship docks again.

After sea trials in Klosterfjorden, the journey will head home to the Barents Sea towards the end of summer, where Johan Castberg will provide value creation, energy security, jobs, and ripple effects for 30 years to come.",Equinor
"Together with the Troll partners, we’ve decided to invest just over NOK 12 billion to further develop the gas infrastructure in the Troll West gas province.  

With this project, the Troll field and Kollsnes processing plant will continue to significantly contribute to the role of the Norwegian continental shelf as a stable and secure European energy supplier during a challenging time 🇳🇴

The gas from Troll alone represents about 10% of Europe's needs 🇪🇺

More ⬇️",Equinor
"👩‍🔬 Over 200 students took part in the Girls in Energy Conference to explore all things science, engineering and energy! Delivered in partnership with North East Scotland College and Fife College, Girls in Energy aims to inspire more girls to pursue a career in energy. More: https://go.shell.com/3G1xXuk

Girls in Energy is part of Shell UK’s drive to help 15,000 people into jobs with a focus on the energy transition over the next decade. More: https://go.shell.com/3FUEffq

#PoweringProgress",Shell
